Timestamp,Milliseconds,Millibars
2021-06-04 19:46:37,5,1022.07007
2021-06-04 19:46:37,104,1022.07025
2021-06-04 19:46:37,204,1022.0442
2021-06-04 19:46:37,305,1022.0705
2021-06-04 19:46:38,404,1022.0973
2021-06-04 19:46:38,504,1022.0973
2021-06-04 19:46:38,604,1022.12354
2021-06-04 19:46:38,704,1022.04535
2021-06-04 19:46:38,804,1022.1241
2021-06-04 19:46:38,904,1022.07166
2021-06-04 19:46:38,1005,1022.0717
2021-06-04 19:46:38,1104,1022.0458
2021-06-04 19:46:38,1204,1022.072
2021-06-04 19:46:38,1305,1022.0459
2021-06-04 19:46:39,1404,1022.01935
2021-06-04 19:46:39,1504,1022.0456
2021-06-04 19:46:39,1604,1022.0457
2021-06-04 19:46:39,1705,1021.9932
2021-06-04 19:46:39,1804,1022.07196
2021-06-04 19:46:39,1904,1022.01984
2021-06-04 19:46:39,2004,1022.0198
2021-06-04 19:46:39,2104,1021.9935
2021-06-04 19:46:39,2204,1022.04596
2021-06-04 19:46:39,2304,1022.0198
2021-06-04 19:46:40,2405,1021.9936
2021-06-04 19:46:40,2504,1021.9672
2021-06-04 19:46:40,2604,1022.0201
2021-06-04 19:46:40,2704,1021.99365
2021-06-04 19:46:40,2804,1022.0724
2021-06-04 19:46:40,2905,1022.046
2021-06-04 19:46:40,3004,1022.01996
2021-06-04 19:46:40,3104,1022.0198
2021-06-04 19:46:40,3204,1022.0461
2021-06-04 19:46:40,3305,1022.0461
2021-06-04 19:46:41,3404,1021.9937
2021-06-04 19:46:41,3504,1022.02
2021-06-04 19:46:41,3604,1022.0467
2021-06-04 19:46:41,3704,1021.96783
2021-06-04 19:46:41,3804,1022.13824
2021-06-04 19:46:41,3904,1022.1251
2021-06-04 19:46:41,4004,1021.99426
2021-06-04 19:46:41,4104,1022.09906
2021-06-04 19:46:41,4205,1021.9286
2021-06-04 19:46:41,4304,1021.8234
2021-06-04 19:46:42,4404,1022.0201
2021-06-04 19:46:42,4504,1022.0724
2021-06-04 19:46:42,4604,1022.04596
2021-06-04 19:46:42,4704,1022.0722
2021-06-04 19:46:42,4804,1022.09827
2021-06-04 19:46:42,4904,1022.12445
2021-06-04 19:46:42,5004,1022.0457
2021-06-04 19:46:42,5104,1021.9931
2021-06-04 19:46:42,5205,1022.1373
2021-06-04 19:46:42,5304,1022.0456
2021-06-04 19:46:43,5404,1022.1242
2021-06-04 19:46:43,5504,1022.1633
2021-06-04 19:46:43,5604,1022.1241
2021-06-04 19:46:43,5705,1022.0714
2021-06-04 19:46:43,5804,1021.9009
