Timestamp,Milliseconds,Millibars
2021-06-04 20:04:51,3,1022.00244
2021-06-04 20:04:51,101,1022.0548
2021-06-04 20:04:51,201,1022.02856
2021-06-04 20:04:52,301,1022.0546
2021-06-04 20:04:52,402,1022.02856
2021-06-04 20:04:52,501,1022.05475
2021-06-04 20:04:52,601,1022.00244
2021-06-04 20:04:52,701,1021.9763
2021-06-04 20:04:52,802,1022.0029
2021-06-04 20:04:52,901,1022.05536
2021-06-04 20:04:52,1001,1022.0288
2021-06-04 20:04:52,1101,1022.0027
2021-06-04 20:04:52,1201,1022.0291
2021-06-04 20:04:53,1302,1022.029
2021-06-04 20:04:53,1402,1022.0554
2021-06-04 20:04:53,1501,1022.08154
2021-06-04 20:04:53,1601,1022.00305
2021-06-04 20:04:53,1702,1022.0816
2021-06-04 20:04:53,1801,1022.02905
2021-06-04 20:04:53,1901,1022.05493
2021-06-04 20:04:53,2001,1022.0288
2021-06-04 20:04:53,2102,1021.9762
2021-06-04 20:04:53,2201,1022.0024
2021-06-04 20:04:54,2301,1022.0287
2021-06-04 20:04:54,2401,1022.0024
2021-06-04 20:04:54,2502,1022.00244
2021-06-04 20:04:54,2601,1022.00244
2021-06-04 20:04:54,2701,1021.9762
2021-06-04 20:04:54,2801,1022.0025
2021-06-04 20:04:54,2902,1022.00256
2021-06-04 20:04:54,3001,1022.00256
2021-06-04 20:04:54,3101,1022.00275
2021-06-04 20:04:54,3201,1022.0027
2021-06-04 20:04:55,3302,1022.0288
2021-06-04 20:04:55,3401,1022.02893
2021-06-04 20:04:55,3501,1022.00256
2021-06-04 20:04:55,3602,1022.0288
2021-06-04 20:04:55,3701,1022.0027
2021-06-04 20:04:55,3801,1022.0027
2021-06-04 20:04:55,3902,1021.9767
2021-06-04 20:04:55,4001,1022.0031
2021-06-04 20:04:55,4101,1022.0033
2021-06-04 20:04:55,4201,1021.9769
2021-06-04 20:04:56,4301,1022.0032
2021-06-04 20:04:56,4402,1022.0557
2021-06-04 20:04:56,4501,1022.0297
2021-06-04 20:04:56,4601,1022.0035
2021-06-04 20:04:56,4702,1022.02954
2021-06-04 20:04:56,4801,1021.9773
2021-06-04 20:04:56,4901,1022.02997
2021-06-04 20:04:56,5002,1022.0032
2021-06-04 20:04:56,5101,1021.9769
2021-06-04 20:04:56,5202,1021.9769
2021-06-04 20:04:57,5301,1021.9773
2021-06-04 20:04:57,5401,1021.977
2021-06-04 20:04:57,5502,1022.0032
2021-06-04 20:04:57,5601,1022.0032
2021-06-04 20:04:57,5701,1022.0557
2021-06-04 20:04:57,5801,1022.05566
2021-06-04 20:04:57,5901,1022.08203
2021-06-04 20:04:57,6002,1022.02954
2021-06-04 20:04:57,6101,1021.9772
2021-06-04 20:04:57,6202,1022.0298
2021-06-04 20:04:58,6301,1022.0563
2021-06-04 20:04:58,6401,1022.0563
2021-06-04 20:04:58,6501,1022.02997
2021-06-04 20:04:58,6602,1022.0038
2021-06-04 20:04:58,6701,1022.0825
2021-06-04 20:04:58,6801,1022.00385
2021-06-04 20:04:58,6902,1022.0566
2021-06-04 20:04:58,7001,1022.00464
2021-06-04 20:04:58,7101,1022.08325
2021-06-04 20:04:58,7202,1022.00476
2021-06-04 20:04:59,7301,1022.00464
2021-06-04 20:04:59,7402,1022.0051
2021-06-04 20:04:59,7501,1022.005
2021-06-04 20:04:59,7601,1021.97906
2021-06-04 20:04:59,7702,1022.0051
2021-06-04 20:04:59,7801,1022.058
2021-06-04 20:04:59,7901,1022.00543
2021-06-04 20:04:59,8002,1022.0579
2021-06-04 20:04:59,8101,1022.05786
2021-06-04 20:04:59,8201,1022.0314
2021-06-04 20:05:00,8303,1021.9791
2021-06-04 20:05:00,8401,1022.0054
2021-06-04 20:05:00,8502,1022.0317
2021-06-04 20:05:00,8601,1022.0055
2021-06-04 20:05:00,8701,1022.0055
2021-06-04 20:05:00,8801,1022.00555
2021-06-04 20:05:00,8902,1021.9796
2021-06-04 20:05:00,9001,1021.9796
2021-06-04 20:05:00,9102,1021.9796
