,Timestamp,Milliseconds,Millibars
0,2021-06-02 15:59:56,3,1016.06335
1,2021-06-02 15:59:56,103,1016.1157
2,2021-06-02 15:59:56,202,1016.1156599999999
3,2021-06-02 15:59:56,302,1016.0894
4,2021-06-02 15:59:56,402,1016.0894
5,2021-06-02 15:59:56,502,1016.11554
6,2021-06-02 15:59:56,602,1016.1156
7,2021-06-02 15:59:57,702,1016.0893
8,2021-06-02 15:59:57,802,1016.11554
9,2021-06-02 15:59:57,903,1016.1682
10,2021-06-02 15:59:57,1002,1016.1155
11,2021-06-02 15:59:57,1102,1016.1417
12,2021-06-02 15:59:57,1203,1016.1417
13,2021-06-02 15:59:57,1302,1016.0632
14,2021-06-02 15:59:57,1403,1016.0894
15,2021-06-02 15:59:57,1503,1016.1155
16,2021-06-02 15:59:57,1602,1016.1155
17,2021-06-02 15:59:58,1702,1016.1155
18,2021-06-02 15:59:58,1803,1016.11554
19,2021-06-02 15:59:58,1902,1016.1156599999999
20,2021-06-02 15:59:58,2003,1016.1155
21,2021-06-02 15:59:58,2102,1016.08923
22,2021-06-02 15:59:58,2202,1016.0368
23,2021-06-02 15:59:58,2302,1016.1155
24,2021-06-02 15:59:58,2403,1016.08923
25,2021-06-02 15:59:58,2502,1016.1158
26,2021-06-02 15:59:58,2602,1016.0896
27,2021-06-02 15:59:59,2702,1016.11597
28,2021-06-02 15:59:59,2803,1016.0897
29,2021-06-02 15:59:59,2902,1016.08984
30,2021-06-02 15:59:59,3002,1016.0635
31,2021-06-02 15:59:59,3102,1016.0899699999999
32,2021-06-02 15:59:59,3203,1016.0375
33,2021-06-02 15:59:59,3302,1016.11615
34,2021-06-02 15:59:59,3403,1016.11615
35,2021-06-02 15:59:59,3502,1016.09
36,2021-06-02 15:59:59,3602,1016.0899
37,2021-06-02 16:00:00,3703,1016.1162
38,2021-06-02 16:00:00,3802,1016.0899
39,2021-06-02 16:00:00,3903,1016.03754
40,2021-06-02 16:00:00,4003,1016.0901
41,2021-06-02 16:00:00,4102,1016.08984
42,2021-06-02 16:00:00,4203,1016.0897
43,2021-06-02 16:00:00,4302,1016.03705
44,2021-06-02 16:00:00,4402,1016.1158
45,2021-06-02 16:00:00,4503,1016.0896
46,2021-06-02 16:00:00,4602,1016.0897
47,2021-06-02 16:00:01,4702,1016.1158
48,2021-06-02 16:00:01,4803,1016.06335
49,2021-06-02 16:00:01,4902,1016.0896
50,2021-06-02 16:00:01,5003,1016.0897
51,2021-06-02 16:00:01,5102,1016.1158
52,2021-06-02 16:00:01,5203,1016.1683
53,2021-06-02 16:00:01,5302,1016.0895
54,2021-06-02 16:00:01,5403,1016.0895
55,2021-06-02 16:00:01,5502,1016.1157
56,2021-06-02 16:00:01,5602,1016.1158
57,2021-06-02 16:00:02,5702,1016.1683
58,2021-06-02 16:00:02,5803,1016.0633
